title,url,description,types
Overnight Chocolate Banana Oats,https://eatsmarter.com/recipes/overnight-chocolate-banana-oats,"Oatmeal is rich in dietary fiber especially beta-glucans, which have a cholesterol-lowering effect. In addition, oatmeal scores with abundant minerals such as magnesium, which makes it the perfect sports food. Thanks to the pecans, the chocolate banana muesli also provides healthy fatty acids, which have a positive effect on the heart, blood vessels, and circulation.","['Porridge', 'high-fiber', 'High-fiber Vegetarian Dish', 'egg-free', 'no-cook', 'Vegetarian', 'Vegetarian Breakfast', 'Crohn&#039;s Disease', 'Fertility', 'Gout', 'high cholesterol', 'Hypertension', 'Iron Deficiency', 'Lactation', 'Osteoarthritis', 'Stress', 'regional', 'European', 'North America', 'American', 'Canadian', 'seasonal', 'Spring', 'Summer', 'Grain', 'Nut', 'Fruit', 'Tropical Fruit', 'Soy', 'Course', 'Brunch', 'Breakfast', 'Sweet Breakfast', 'Menu', 'Dessert']"
Tortilla with Spicy Fried Eggs,https://eatsmarter.com/recipes/tortilla-with-spicy-fried-eggs,The fiery chili pepper gives every meal and also the metabolism through the pungent substance capsaicin really power. Chili inhibits inflammation and protects the cells. Eggs provide us with a lot of high-quality protein and fat-soluble vitamins.,"['Breakfast', 'Clean Eating', 'Vegetarian', 'Vegetarian Lunch', 'Vegetarian Dinner', 'Vegetarian Entree', 'European', 'North America', 'Latin America', 'Central America', '25-Minute', 'What to Cook on Sunday?', 'What to Cook on the Weekend?', 'Quick', 'Quick', 'Eggs', 'Spices', 'Brunch', 'Lunch', 'Tapas']"
Lentil Waffles with Wild Garlic Pesto,https://eatsmarter.com/recipes/lentil-waffles-with-wild-garlic-pesto,"Olive oil is known to be not only good for the heart and vessels; the oleocanthal it contains can reduce inflammation, similar to ibuprofen. You can feel the polyphenol in your throat - it is responsible for the typical scratchy feeling in your throat. Lentils are a source of protein, fiber and vitamins. ","['Hearty Breakfast', 'Baking', 'pastry', 'Waffle', 'nutritional', 'High-protein', 'High-protein Vegetarian Dish', 'Healthy Eating', 'Gluten-free', 'Gluten-free Snack', 'Gluten-free Breakfast', '400-500 Calorie', 'Vegetarian', 'Vegetarian Breakfast', 'Vegetarian Snack', 'Course', 'Breakfast', 'Snack']"
Açaí Bowl with Fresh Berries,https://eatsmarter.com/recipes/acai-bowl-with-fresh-berries,"Do you like to eat soft fruits? Then grab it here: The many antioxidants can reduce inflammation, protect the cells and can thus also improve thinking performance. Soybeans, from which the yogurt alternative is made, provide vitamin B1, which supports the work of the nerves.","['Vegan Breakfast', 'Clean Eating', '400-500 Calorie', 'lactose-free', 'lactose-free vegetarian', 'non-alcoholic', 'egg-free', 'meat-free', 'Vegan', 'Vegan Snack', 'Vegetarian', 'Vegetarian Breakfast', 'Vegetarian Snack', 'Vitamin-rich', 'seasonal', 'Summer', 'Special', '15-Minute', 'eating at work', 'Cooking on vacation', 'Meal for Four', 'Sweet', 'College Cooking', 'Seed', 'Nut', 'Fruit', 'Course', 'Brunch', 'Breakfast', 'Sweet Breakfast']"
Berry Smoothie Bowls with Seeds,https://eatsmarter.com/recipes/berry-smoothie-bowls-with-seeds,The zinc from the seeds and kernels ensures healthy skin and supports wound healing. Almonds are excellent sources of calcium: In 100 g there is twice as much of it as in a cup of yogurt.,"['Clean Eating', 'Healthy Eating', 'Vegan', 'Vegan Breakfast', 'Vegetarian', 'Breakfast', 'Sweet Breakfast']"
Muesli Bowl with Coconut and Fruit,https://eatsmarter.com/recipes/muesli-bowl-with-coconut-and-fruit,"If you want shiny hair and strong fingernails, you should eat buckwheat more often, because this pseudocereal is particularly rich in silicic acid. Chia seeds are small powerhouses with lots of iron, amino acids and calcium. Their many fibers fill the stomach and make so long full and satisfied.","['Sweet Breakfast', 'Clean Eating', 'high-fiber', 'Healthy Eating', 'Vegetarian', 'Vegetarian Breakfast', 'Breakfast', 'muesli']"
Ginger Green Smoothie,https://eatsmarter.com/recipes/ginger-green-smoothie,"As a vitamin C donor can Lamb's lettuce is absolutely impressive. Thus, it effectively strengthens the body's defenses. If you have a sensitive intestine, soluble swelling agents such as pectin are beneficial. Many of these are found, for example, in Apples present.","['Green Smoothie', 'nutritional', 'Clean Eating', 'high-fiber', 'Healthy Eating', 'Gluten-free', 'Gluten-free Beverage', 'Gluten-free Breakfast', '250-400 Calorie', 'lactose-free', 'Lactose-free Beverage', 'Vegan', 'Vegan Breakfast', 'regional', 'European', 'seasonal', 'Autumn', 'Autumn Breakfast', 'winter', 'Beverage', 'non-alcoholic', 'Power Drink', 'Smoothie', 'Apple Smoothie', 'banana smoothie', 'Cucumber smoothie', 'Fruit Smoothie', 'Spinach Smoothie', 'Superfood Smoothie', 'Vegetable smoothie', 'Course', 'Brunch', 'Snack', 'Breakfast', 'Snack']"
"Fried Egg, Avocado and Halloumi Breakfast",https://eatsmarter.com/recipes/fried-egg-avocado-and-halloumi-breakfast,"Eggs boast biotin, which ensures strong nails and hair. In addition, the proteins contained make you full, slim and fit. Avocados Avocados score points with their abundance of vitamin E. The fat-soluble vitamin acts as an antioxidant and thus protects our cells from damage by free radicals.","['Hearty Breakfast', 'nutritional', 'Clean Eating', 'High-protein', 'High-protein Vegetarian Dish', 'Healthy Eating', 'Gluten-free', 'Gluten-free Vegetarian Recipe', 'Gluten-free Dinner', 'Gluten-free Breakfast', 'Gluten-free Lunch', '400-500 Calorie', 'low-carb', 'low-carb breakfast', 'low-carb dinner', 'low-carb lunch', 'low-carb vegetarian', 'Vegetarian', 'Vegetarian Breakfast', 'Vegetarian Lunch', 'Vegetarian Dinner', 'Vegetarian Entree', 'regional', 'European', 'seasonal', 'Spring', 'Summer', 'Autumn', 'winter', 'Cooking', 'Eggs', 'Fried Egg', 'Course', 'Brunch', 'Breakfast', 'Farmer&#039;s Breakfast', 'Hangover Breakfast', 'Lunch', 'Dinner']"
Mango Cream and Pumpernickel Coconut Crunch,https://eatsmarter.com/recipes/mango-cream-and-pumpernickel-coconut-crunch,"Not only does it offer plenty of muscle-strengthening protein. The milk product also has the minerals calcium and iodine to offer. Our bones and metabolism benefit from this. The tropical coconut is rich in magnesium, which is important for nerve function.","['Dessert', 'nutritional', '250-400 Calorie', 'Vegetarian', 'Vegetarian Breakfast', 'Vegetarian Snack', 'Vegetarian Dessert', 'regional', 'European', 'seasonal', 'Spring', 'Summer', 'Autumn', 'winter', 'Course', 'Breakfast', 'Sweet Breakfast', 'Snack', 'Menu', 'Cream', 'Fruit Dessert']"
Cottage Cheese Scrambled Eggs with Grapefruit Avocado Salad,https://eatsmarter.com/recipes/cottage-cheese-scrambled-eggs-with-grapefruit-avocado-salad,"The fat killer Grapefruit! A bitter substance called naringenin can affect certain proteins so that the liver preferentially breaks down fatty acids. If cottage cheese is enjoyed after a workout, the dairy product immediately provides us with the right nutrition for muscle building.","['Hearty Breakfast', 'nutritional', 'Clean Eating', 'Healthy Eating', '400-500 Calorie', 'Vegetarian', 'Vegetarian Breakfast', 'Vegetarian Snack', 'Classic', 'regional', 'European', 'seasonal', 'Autumn', 'winter', 'Cooking', 'Eggs', 'Scrambled Egg', 'Course', 'Brunch', 'Snack', 'Breakfast']"
Fruit Salad with Lemon Balm Pesto,https://eatsmarter.com/recipes/fruit-salad-with-lemon-balm-pesto,"The mango scores with a high proportion of beta-carotene. Thus, it helps our body with the cell renewal of the skin and mucous membranes. Mango also scores well in terms of vitamin C: 100 g contain around 37 mg and cover more than a third of the daily requirement (women 95 mg and men 110 mg vitamin C) of this vitamin.","['Fruit', 'Clean Eating', 'Healthy Eating', '100-250 Calorie', 'Vegan', 'Vegan Dessert', 'Vegetarian', 'Vitamin-rich', 'Easter', 'Easter Brunch', 'Easter Breakfast', 'Fruit Salad', 'Brunch', 'Breakfast', 'Snack', 'Low-calorie']"
